count_floors_pre_eq,age,has_superstructure_mud_mortar_stone,has_superstructure_cement_mortar_brick,count_families,geo_level_1_id_17,geo_level_1_id_26,foundation_type_i,foundation_type_r,roof_type_n,roof_type_x,ground_floor_type_f,ground_floor_type_v,other_floor_type_q,other_floor_type_s
2,5,1,0,1,0,0,0,1,1,0,0,0,0,0
2,5,0,1,1,0,1,0,0,1,0,0,1,1,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
2,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3,20,0,0,2,0,0,1,0,0,1,0,1,0,1
2,0,1,0,1,0,0,0,1,1,0,1,0,1,0
3,0,0,1,1,0,0,1,0,0,1,0,0,0,1
2,10,0,0,1,0,0,0,1,1,0,1,0,1,0
3,0,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,0,1,0,1,1,0,0,1,0,1,0,0
2,0,0,0,1,0,1,0,0,1,0,1,0,1,0
1,5,0,0,1,0,0,0,0,0,0,1,0,0,0
2,10,1,0,0,0,0,0,1,1,0,1,0,1,0
5,5,0,0,1,0,0,1,0,0,1,0,1,0,1
2,5,0,1,1,0,0,0,0,0,1,0,1,0,1
3,0,0,1,1,0,0,1,0,0,1,0,1,0,1
4,5,0,0,1,0,0,1,0,0,1,0,1,0,1
4,50,0,0,1,0,0,0,1,0,1,0,0,1,0
1,5,0,1,0,0,0,1,0,0,1,0,1,0,0
2,0,0,1,1,0,1,0,0,1,0,1,0,1,0
4,0,0,0,1,0,0,1,0,0,1,0,1,0,1
2,25,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,0,1,0,0,0,0,0,0,0,1,0,0
2,15,1,0,1,0,0,0,1,1,0,1,0,1,0
2,5,1,0,1,0,0,0,1,0,0,1,0,1,0
2,0,1,0,1,0,1,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,5,0,1,1,0,1,0,0,1,0,0,1,0,0
2,0,0,0,1,0,1,0,1,1,0,1,0,0,0
2,5,1,0,1,0,0,0,1,1,0,0,0,1,0
3,0,0,1,0,0,0,1,0,0,1,0,1,0,1
2,5,0,0,1,0,0,0,0,0,0,1,0,0,0
2,30,0,0,1,0,0,0,1,1,0,1,0,1,0
2,10,1,0,0,0,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,0,1,0,0,0,0,0,1,0,1,1,0,0,0
2,20,1,1,1,0,0,0,1,1,0,0,0,1,0
3,55,1,0,1,0,0,0,1,0,0,1,0,1,0
2,5,0,0,1,0,0,1,0,0,1,0,1,0,1
3,10,0,1,1,0,0,1,0,0,1,0,1,0,1
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,995,0,1,1,0,1,0,0,1,0,0,1,0,1
1,20,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
3,10,1,0,1,0,0,0,1,1,0,0,0,0,0
3,55,1,0,0,0,0,0,1,0,0,1,0,1,0
1,10,1,0,1,0,0,0,1,1,0,1,0,0,0
5,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,35,1,0,1,0,0,0,1,1,0,1,0,0,0
2,0,0,1,1,0,0,0,0,0,0,0,1,0,0
5,10,0,0,0,0,0,1,0,0,1,0,1,0,1
3,5,0,1,1,0,0,1,0,0,1,0,1,0,1
1,0,0,1,1,1,0,1,0,0,1,0,1,0,0
3,0,0,0,1,0,0,0,0,0,1,0,1,0,1
1,5,1,0,1,0,1,0,1,1,0,1,0,0,0
2,0,1,0,1,0,0,0,1,1,0,1,0,1,0
2,10,0,1,1,0,1,0,1,1,0,0,1,0,0
2,20,0,1,1,0,1,0,0,0,0,0,0,0,0
2,15,1,0,1,0,0,0,1,0,0,1,0,1,0
2,0,0,1,1,0,0,0,1,1,0,0,1,0,1
3,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,10,1,0,1,0,1,0,1,1,0,1,0,0,0
2,20,0,0,1,0,0,0,0,0,0,1,0,0,0
3,0,1,0,1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,2,0,0,0,0,1,0,0,1,0,0
2,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,35,1,0,1,0,0,0,1,1,0,0,0,0,0
1,10,0,0,1,0,0,0,0,1,0,1,0,0,0
4,15,0,0,1,0,0,1,0,0,1,0,1,0,1
2,0,1,0,1,0,1,0,1,1,0,1,0,1,0
2,15,0,0,1,0,0,0,0,0,0,1,0,1,0
2,10,1,0,1,0,0,0,1,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
2,15,0,0,1,0,0,0,0,0,0,1,0,1,0
2,0,0,0,1,0,1,0,1,0,1,0,1,0,1
1,20,1,0,1,0,0,0,1,1,0,1,0,0,0
1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
3,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1,5,0,0,1,0,1,1,0,0,1,0,1,0,0
2,80,1,0,1,0,0,0,1,1,0,1,0,1,0
2,15,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,1,0,0,0,0,0,1,0,0,1,0,0
1,10,0,1,2,0,0,0,0,0,1,0,1,0,0
2,5,0,0,1,0,0,0,0,0,0,1,0,0,0
2,30,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,1,0,1,0,0,0,1,0,0,1,0,0,0
2,15,0,0,0,0,0,1,0,0,1,0,1,0,1
2,5,0,0,1,0,0,0,0,1,0,1,0,0,0
2,10,1,0,1,0,0,0,1,1,0,1,0,1,0
5,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,1,0,1,0,1,1,0,1,0,0,0
3,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,0,0,1,0,0,0,0,0,0,1,1,0,0,1
3,40,1,0,1,0,0,0,1,1,0,1,0,1,0
1,15,1,0,1,0,0,0,1,1,0,1,0,0,0
2,10,0,0,1,0,0,0,0,0,0,1,0,0,0
2,35,1,0,1,0,0,0,1,0,0,1,0,1,0
2,5,0,0,0,0,0,1,0,0,1,0,1,0,1
1,15,1,0,1,0,1,0,1,0,0,1,0,0,0
1,5,0,1,1,0,1,0,0,0,0,0,0,0,0
1,10,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
2,10,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
2,10,0,0,1,0,0,1,0,0,1,0,1,0,1
2,10,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,1,0,0,1,0,1,1,0,0,1,0,0
2,15,1,0,2,0,0,0,1,1,0,1,0,1,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0
2,0,1,0,0,0,0,0,1,0,0,1,0,1,0
2,5,0,0,0,0,0,1,0,0,1,0,1,0,1
2,20,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
3,5,0,0,1,0,0,1,0,0,1,0,0,0,1
1,5,0,0,1,0,0,0,0,1,0,0,0,0,0
2,20,0,1,0,0,0,0,1,0,1,0,1,0,1
2,0,0,1,1,0,1,0,1,1,0,1,0,1,0
1,10,0,0,0,0,0,1,0,0,1,0,1,0,0
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,0,1,0,1,0,0,0,0,1,0,1,0,1,0
1,15,1,0,1,0,0,0,1,1,0,1,0,0,0
1,15,0,1,1,0,0,0,0,1,0,0,1,0,0
3,10,1,0,1,0,1,0,1,1,0,1,0,0,0
1,25,1,0,1,0,1,0,0,0,0,1,0,0,0
1,10,0,1,1,0,1,0,1,0,1,0,1,0,0
2,5,1,0,1,0,0,0,1,1,0,1,0,0,0
1,0,0,1,1,1,0,1,0,0,1,0,1,0,0
2,10,0,0,1,0,1,0,1,1,0,1,0,0,0
2,0,0,1,1,0,1,0,1,1,0,0,1,0,0
4,45,0,1,2,0,0,0,1,1,0,1,0,1,0
1,15,1,0,1,0,0,0,1,1,0,1,0,0,0
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,0,0,1,0,0,0,1,0,0,1,0,1,0,1
3,10,0,0,1,0,0,1,0,0,1,0,1,0,1
1,10,0,0,1,0,1,0,0,1,0,1,0,0,0
1,5,0,1,1,0,1,0,1,1,0,0,1,0,0
2,20,1,0,1,0,0,0,1,0,0,1,0,0,0
2,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,10,0,1,1,0,1,0,1,0,0,0,1,0,0
2,20,0,1,1,0,1,0,0,1,0,0,1,0,1
3,5,0,0,1,0,0,1,0,0,1,0,1,0,1
2,10,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,20,1,0,1,0,1,0,0,1,0,1,0,0,0
2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,5,0,0,1,0,1,0,0,1,0,1,0,0,0
4,0,0,1,1,0,0,1,0,0,1,0,1,0,1
3,5,0,0,1,0,0,1,0,0,1,0,1,0,1
2,10,0,1,1,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
4,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,10,0,1,0,0,1,0,0,1,0,0,1,0,0
2,25,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
2,5,0,0,1,0,0,0,0,0,0,1,0,0,0
1,5,0,1,1,0,1,0,1,1,0,0,1,0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,10,0,1,1,0,0,0,0,1,0,0,1,1,0
2,5,0,0,1,0,0,0,0,0,0,1,0,0,0
2,10,1,0,1,0,1,0,0,1,0,1,0,0,0
2,50,0,1,2,0,1,0,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,1,1,0,1,0,0,0
2,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
2,10,0,0,1,0,0,0,0,0,0,1,0,0,0
3,25,1,0,1,0,0,0,1,1,0,1,0,1,0
2,20,0,1,1,0,1,0,1,0,1,0,1,0,1
2,30,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,1,0,1,0,1,0,1,1,0,0,0,0,0
3,5,0,0,1,0,0,1,0,1,0,0,1,0,1
4,25,0,1,0,0,0,0,1,0,1,0,1,0,1
1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,1,0,0
2,5,1,0,1,0,0,0,0,0,0,0,1,0,0
2,0,1,0,1,0,0,0,1,1,0,1,0,1,0
1,10,1,0,1,0,0,0,1,1,0,1,0,0,0
2,10,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
2,995,1,0,2,0,0,0,1,1,0,1,0,1,0
2,15,0,1,1,0,1,0,1,0,1,0,1,0,1
2,10,1,0,1,0,0,0,0,1,0,1,0,0,0
2,20,0,0,1,0,1,0,0,0,0,1,0,1,0
1,5,0,0,1,0,0,0,0,1,0,1,0,0,0
2,20,0,0,1,0,1,0,1,1,0,1,0,0,0
2,0,1,0,0,0,0,0,1,1,0,1,0,1,0
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
2,5,0,1,1,0,1,0,1,1,0,0,1,0,1
2,20,0,1,2,0,1,0,1,0,1,0,1,0,1
2,30,1,0,0,0,0,0,1,1,0,1,0,1,0
1,10,0,1,1,0,1,0,0,0,1,0,1,0,0
2,10,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,0,1,0,0,1,0,0,1,0,1,0,0
3,15,0,0,0,0,0,1,0,0,1,0,1,0,1
2,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
2,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,25,1,0,1,0,0,0,1,1,0,1,0,0,0
2,10,1,0,1,0,0,0,0,1,0,1,0,1,0
2,5,0,1,2,0,1,0,0,0,1,0,1,0,1
2,0,1,0,0,0,0,0,1,1,0,1,0,1,0
3,10,0,0,0,0,0,1,0,0,1,0,1,0,1
2,5,0,1,0,0,0,0,0,0,1,0,1,0,1
1,10,0,1,1,0,1,0,1,1,0,0,1,0,0
4,10,0,1,1,0,0,1,0,0,1,0,1,0,1
1,5,1,0,1,0,0,0,1,1,0,1,0,0,0
5,10,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3,0,0,1,1,0,0,1,0,0,1,0,1,0,1
2,10,1,0,1,0,1,0,1,1,0,1,0,0,0
1,0,0,1,1,0,0,1,0,0,1,0,1,0,0
1,15,1,0,1,0,0,0,1,1,0,1,0,0,0
4,35,0,1,1,0,0,0,0,0,1,0,1,0,1
1,10,0,0,1,0,1,0,0,1,0,0,1,0,0
2,0,1,0,1,0,0,0,1,1,0,1,0,1,0
2,0,1,0,1,0,1,0,1,1,0,1,0,1,0
3,20,0,1,1,0,0,0,0,0,1,0,1,0,1
2,5,1,0,1,0,0,0,1,1,0,1,0,1,0
2,35,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,0,1,0,0,1,0,0,1,0,1,0,0
1,5,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,30,1,0,0,0,0,0,1,1,0,1,0,0,0
2,5,0,0,1,0,0,0,0,0,1,0,1,0,1
2,0,1,0,0,0,0,0,1,1,0,1,0,1,0
1,0,0,1,1,0,1,0,1,1,0,1,0,0,0
3,10,0,1,1,0,1,0,0,0,1,0,1,0,1
2,35,1,0,1,0,0,0,1,0,0,1,0,1,0
2,5,1,0,0,0,0,0,0,0,0,1,0,1,0
2,10,1,0,1,0,0,0,1,1,0,0,0,1,0
2,20,1,0,1,0,0,0,1,1,0,1,0,1,0
2,25,0,0,1,0,0,1,0,0,1,0,1,0,1
1,20,0,1,1,0,1,0,0,1,0,0,1,0,0
2,10,0,0,1,0,1,0,0,1,0,1,0,1,0
2,5,0,0,1,0,0,1,0,0,1,0,1,0,1
1,5,0,0,1,0,1,0,0,1,0,1,0,0,0
2,5,1,0,1,0,0,0,1,1,0,1,0,0,0
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2,10,1,0,1,0,0,0,1,0,0,1,0,1,0
1,5,0,0,1,0,0,0,0,1,0,0,0,0,0
1,50,0,0,1,0,0,0,1,1,0,1,0,0,0
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
1,5,0,0,1,0,0,0,0,1,0,0,0,0,0
3,25,1,0,1,1,0,0,1,0,0,0,1,0,0
2,20,1,0,1,0,0,0,1,1,0,1,0,1,0
2,5,0,0,1,0,0,0,0,0,0,1,0,1,0
2,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,15,0,0,1,0,0,0,0,1,0,1,0,0,0
2,5,1,0,0,0,0,0,0,0,0,1,0,0,0
2,10,0,0,1,0,0,0,0,0,0,1,0,1,0
2,10,1,0,1,0,0,0,1,1,0,1,0,1,0
4,20,0,0,0,0,0,1,0,0,1,0,1,0,1
1,5,0,1,0,0,0,1,0,0,1,0,1,0,0
2,15,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
4,10,0,1,1,0,0,1,0,0,1,0,1,0,1
1,5,1,0,1,0,1,0,1,1,0,1,0,0,0
2,10,1,0,0,0,0,0,1,0,0,1,0,1,0
1,10,0,0,0,0,1,0,1,0,0,0,1,0,0
1,25,0,0,1,0,1,0,0,1,0,1,0,0,0
1,5,0,1,1,0,1,0,0,1,0,0,1,0,0
2,10,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
2,15,0,0,1,0,0,0,1,1,0,1,0,1,0
2,5,1,0,1,0,0,0,1,1,0,1,0,1,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2,5,0,0,1,0,0,0,0,0,0,1,0,1,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
3,10,0,0,1,0,0,1,0,0,1,0,1,0,1
1,5,0,1,1,0,1,0,0,1,0,0,0,0,0
3,0,0,1,1,0,1,1,0,0,1,0,1,0,1
2,5,0,1,1,0,0,0,0,0,1,0,1,0,1
1,15,0,1,0,0,0,0,0,0,1,0,0,0,0
2,20,0,0,1,0,1,0,0,1,0,0,1,0,0
1,0,0,0,2,0,1,0,1,0,1,0,1,0,0
3,25,1,0,1,0,0,0,1,1,0,1,0,1,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
2,5,0,0,1,0,1,0,0,1,0,1,0,1,0
1,50,1,0,1,0,0,0,1,1,0,1,0,0,0
1,5,0,1,1,0,0,0,0,0,0,0,1,0,0
3,995,1,0,1,0,0,0,1,1,0,1,0,1,0
3,10,0,1,1,0,0,0,0,0,1,0,0,0,1
4,20,0,1,1,0,0,1,0,0,1,0,1,0,1
2,10,1,0,1,0,0,0,1,0,0,1,0,1,0
3,15,1,0,1,0,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
2,25,1,1,0,0,0,0,0,1,0,0,0,1,0
2,5,0,1,1,0,0,0,0,0,1,0,1,0,1
2,0,0,0,2,0,0,0,0,1,0,1,0,0,0
2,20,1,0,1,0,0,0,1,0,0,1,0,1,0
2,5,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
4,20,0,1,1,0,0,1,0,0,1,0,1,0,1
1,5,0,1,1,0,1,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,995,1,0,1,0,0,0,1,1,0,1,0,0,0
2,30,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,1,1,0,0,0,0,1,0,0,0,0,0
2,40,1,0,1,0,0,0,1,0,0,0,1,1,0
2,25,1,0,1,0,0,0,1,1,0,1,0,1,0
2,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,10,0,0,1,0,0,0,1,0,0,1,0,0,0
2,5,0,0,1,0,0,0,1,0,0,1,0,0,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
3,0,1,0,1,0,0,0,1,1,0,1,0,1,0
2,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,0,1,0,1,0,0,0,1,1,0,1,0,0,0
2,10,0,0,1,0,0,0,0,0,0,1,0,0,0
4,15,0,1,1,0,0,0,1,0,1,0,1,0,1
1,5,0,0,1,0,0,1,0,0,1,0,1,0,0
3,5,1,0,1,0,0,0,1,1,0,1,0,1,0
2,10,1,0,1,0,0,0,1,0,0,1,0,0,0
4,10,1,0,0,0,0,0,1,1,0,0,0,1,0
2,40,0,0,1,0,0,0,1,1,0,1,0,0,0
2,5,0,0,1,0,0,0,0,0,1,0,1,0,1
2,0,1,0,1,0,0,0,1,1,0,1,0,1,0
2,30,1,0,1,0,0,0,1,1,0,1,0,1,0
3,10,1,0,1,0,0,0,1,1,0,1,0,1,0
1,5,0,1,0,0,1,0,1,1,0,0,0,0,0
2,25,1,0,1,0,0,0,1,1,0,1,0,1,0
2,5,1,0,0,0,1,0,1,1,0,1,0,1,0
2,10,1,0,0,0,0,0,1,0,0,1,0,1,0
2,5,0,0,1,0,1,0,0,1,0,1,0,1,0
1,25,0,0,1,0,1,0,0,1,0,0,1,0,0
3,25,0,0,1,0,0,0,1,0,0,1,0,1,0
2,0,1,1,1,0,0,1,0,0,1,0,1,0,1
2,5,0,0,1,0,1,0,1,1,0,1,0,0,0
2,0,0,0,1,0,0,1,0,0,1,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,20,0,0,2,0,1,0,0,1,0,1,0,0,0
1,20,1,0,1,0,0,0,1,1,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,1,0,1,0,1
2,10,1,0,1,0,0,0,0,0,0,1,0,1,0
2,10,1,0,1,0,1,0,1,1,0,1,0,1,0
1,5,0,1,1,0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,5,0,0,1,0,0,0,0,0,1,0,0,0,1
2,15,1,0,1,0,0,0,1,1,0,1,0,1,0
2,5,0,0,1,0,0,1,0,0,1,0,1,0,1
2,5,0,0,1,0,1,0,1,0,1,0,1,0,1
2,20,1,0,1,0,0,0,1,1,0,1,0,1,0
