age,area_percentage,has_superstructure_mud_mortar_stone,has_superstructure_cement_mortar_brick,has_superstructure_rc_non_engineered,has_superstructure_rc_engineered,geo_level_1_id_17,geo_level_1_id_26,foundation_type_i,foundation_type_r,foundation_type_w,roof_type_x,ground_floor_type_v,other_floor_type_j,other_floor_type_s
0,12,0,0,0,1,0,0,1,0,0,1,1,0,1
10,6,1,0,0,0,0,1,0,1,0,0,0,1,0
5,5,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2,0,0,0,0,0,0,0,0,1,0,0,1,0
0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
5,10,0,0,0,1,0,0,1,0,0,1,1,1,0
5,8,0,0,0,0,0,0,0,1,0,0,0,0,0
0,6,0,0,1,0,0,0,1,0,0,1,0,1,0
0,10,0,1,1,0,0,0,1,0,0,1,1,0,1
10,25,0,1,0,0,0,1,0,0,0,1,0,1,0
10,7,1,0,0,0,0,0,0,1,0,0,0,0,0
0,15,0,1,0,0,0,1,0,0,0,1,1,1,0
0,8,0,0,0,0,0,1,0,0,1,0,0,0,0
15,5,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
5,16,0,0,1,0,0,0,1,0,0,1,1,0,1
15,5,1,0,0,0,0,0,0,1,0,0,0,0,0
10,10,0,1,0,0,0,1,0,0,0,0,1,0,1
0,6,0,1,0,0,0,1,0,0,0,0,0,1,0
10,8,1,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1,0,0,0,0,1,0,0,1,0,0,0,0
30,20,1,0,0,0,0,0,0,1,0,0,0,0,0
30,7,1,0,0,0,0,0,0,1,0,0,0,0,0
20,8,0,0,0,0,0,0,0,1,0,0,0,1,0
40,9,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
25,6,1,0,0,0,0,0,0,1,0,0,0,1,0
0,13,0,1,0,0,0,0,0,0,0,0,1,0,1
995,27,0,1,0,1,0,1,1,0,0,1,1,0,1
15,19,0,0,1,0,0,0,1,0,0,1,1,0,1
10,11,1,0,0,0,0,0,0,1,0,0,0,0,0
10,8,0,0,0,0,0,1,0,0,1,0,0,1,0
5,10,0,1,0,0,0,0,1,0,0,0,1,0,1
10,6,0,0,0,0,0,1,0,0,1,0,0,1,0
0,4,0,1,0,0,0,1,0,0,0,0,1,1,0
5,17,0,0,0,1,0,0,1,0,0,1,1,1,0
0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
5,23,0,0,1,0,0,1,1,0,0,1,1,1,0
10,5,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,1,0,0,0,0,0,0,0,0,1,1,0
0,13,0,0,0,1,0,1,0,0,0,1,1,0,1
5,8,1,0,0,0,0,0,0,1,0,0,0,1,0
0,7,1,1,0,0,0,0,0,0,0,0,0,1,0
5,19,0,0,0,1,0,0,1,0,0,1,1,0,1
15,15,0,0,0,1,0,0,1,0,0,1,1,0,1
20,5,1,0,0,0,0,0,0,1,0,0,0,0,0
45,7,1,0,0,0,0,0,0,1,0,0,0,0,0
15,9,1,0,0,0,0,1,0,0,1,0,0,0,0
15,6,0,1,0,0,0,1,0,0,1,0,1,0,0
5,16,0,1,1,0,0,0,1,0,0,1,1,0,1
0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
5,5,1,0,0,0,0,0,0,1,0,0,0,0,0
10,20,0,0,1,1,0,0,1,0,0,1,1,0,1
5,11,0,1,0,1,0,1,1,0,0,1,1,1,0
40,6,1,0,0,0,0,0,0,1,0,0,0,1,0
20,7,0,1,0,0,0,1,0,0,0,0,1,1,0
0,6,1,0,0,0,0,0,0,0,1,0,0,1,0
0,7,0,1,0,0,0,0,0,0,0,0,1,1,0
5,9,1,0,0,0,0,0,0,1,0,0,0,0,0
5,7,1,0,0,0,0,0,0,1,0,0,0,0,0
5,10,0,1,0,0,0,1,0,0,1,0,1,0,0
0,11,0,1,0,0,0,1,0,1,0,0,1,1,0
0,13,0,0,0,0,0,0,0,0,1,0,0,0,0
0,13,0,0,0,1,0,0,0,0,0,1,1,1,0
20,15,0,0,1,0,0,0,1,0,0,1,1,0,1
0,11,1,0,0,0,0,0,0,1,0,0,0,0,0
0,47,0,1,1,0,0,0,1,0,0,1,0,0,1
10,5,0,0,0,0,0,0,0,1,0,0,0,0,0
0,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,22,0,0,0,1,0,1,1,0,0,1,1,1,0
0,6,0,0,0,0,0,1,0,0,1,0,0,0,0
5,15,0,0,0,0,0,0,0,0,1,0,0,1,0
10,3,1,0,0,0,0,0,0,1,0,0,0,0,0
5,15,0,0,1,1,0,0,1,0,0,1,1,0,1
5,38,0,1,0,0,0,0,0,0,0,1,1,0,1
0,18,0,1,0,1,0,0,1,0,0,1,1,0,1
5,9,0,0,0,1,0,0,1,0,0,1,1,0,1
50,5,0,0,0,0,0,0,0,1,0,1,0,0,0
5,11,0,1,0,1,0,0,1,0,0,1,1,1,0
0,6,0,1,0,0,0,1,0,0,1,0,0,0,0
0,12,0,0,1,0,0,0,1,0,0,1,1,0,1
25,8,1,0,0,0,0,0,0,1,0,0,0,0,0
5,14,0,0,1,0,0,0,0,0,0,0,1,1,0
15,4,1,0,0,0,0,0,0,1,0,0,0,0,0
5,11,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,1,0,0,0,0,1,0,0,1,0,0,0,0
0,13,0,0,1,0,0,0,1,0,0,1,1,1,0
5,7,0,1,0,0,0,1,0,0,0,0,1,1,0
0,7,0,0,0,0,0,1,0,1,0,0,0,0,0
5,5,1,0,0,0,0,0,0,1,0,0,0,0,0
0,12,0,1,0,1,0,0,1,0,0,1,1,0,1
5,3,0,0,0,0,0,0,0,0,1,0,0,0,0
30,13,0,0,0,0,0,0,0,1,0,0,0,0,0
10,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
0,6,1,0,0,0,0,0,0,1,0,1,0,0,0
20,6,1,1,0,0,0,0,0,1,0,0,0,0,0
55,5,1,0,0,0,0,0,0,1,0,0,0,0,0
5,16,0,0,1,0,0,0,1,0,0,1,1,0,1
10,10,0,1,0,0,0,0,1,0,0,1,1,0,1
0,9,0,0,0,1,0,0,1,0,0,1,1,1,0
995,14,0,1,0,0,0,1,0,0,0,0,1,0,1
20,7,0,1,0,0,0,0,0,0,1,0,1,1,0
0,18,0,0,0,1,0,1,0,0,0,1,1,1,0
10,19,1,0,0,0,0,0,0,1,0,0,0,0,0
55,5,1,0,0,0,0,0,0,1,0,0,0,0,0
10,5,1,0,0,0,0,0,0,1,0,0,0,1,0
0,7,0,0,0,1,0,0,1,0,0,1,1,0,1
35,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,11,0,1,0,0,0,0,0,0,1,0,1,0,0
10,13,0,0,1,0,0,0,1,0,0,1,1,0,1
5,15,0,1,0,0,0,0,1,0,0,1,1,0,1
0,11,0,1,0,0,1,0,1,0,0,1,1,1,0
0,19,0,0,1,0,0,0,0,0,0,1,1,0,1
5,7,1,0,0,0,0,1,0,1,0,0,0,1,0
0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
10,5,0,1,0,0,0,1,0,1,0,0,1,0,0
20,8,0,1,0,0,0,1,0,0,1,0,0,0,0
15,8,1,0,0,0,0,0,0,1,0,0,0,0,0
0,10,0,1,0,0,0,0,0,1,0,0,1,0,1
5,5,1,0,0,0,0,0,0,1,0,0,0,0,0
10,10,1,0,0,0,0,1,0,1,0,0,0,1,0
20,16,0,0,0,0,0,0,0,0,1,0,0,0,0
0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,1,0,0,1,0,0,1,1,1,0
0,40,0,1,0,0,0,0,0,0,0,0,1,1,0
0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
35,5,1,0,0,0,0,0,0,1,0,0,0,1,0
10,2,0,0,0,0,0,0,0,0,1,0,0,1,0
15,16,0,0,1,0,0,0,1,0,0,1,1,0,1
0,2,1,0,0,0,0,1,0,1,0,0,0,0,0
15,8,0,0,0,0,0,0,0,0,1,0,0,0,0
10,10,1,0,0,0,0,0,0,1,0,0,0,0,0
0,14,0,1,0,1,0,1,1,0,0,1,1,1,0
15,4,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,0,0,0,1,0,1,0,1,0,1,1,0,1
20,8,1,0,0,0,0,0,0,1,0,0,0,1,0
0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,13,0,0,1,0,0,0,1,0,0,1,1,0,1
5,6,0,0,1,0,0,1,1,0,0,1,1,1,0
80,6,1,0,0,0,0,0,0,1,0,0,0,0,0
15,8,1,0,0,0,0,0,0,1,0,0,0,0,0
5,6,0,1,0,0,0,0,0,0,0,0,1,1,0
10,13,0,1,0,0,0,0,0,0,0,1,1,1,0
5,6,0,0,0,0,0,0,0,0,1,0,0,0,0
30,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,6,1,0,1,0,0,0,0,1,0,0,0,1,0
15,7,0,0,1,0,0,0,1,0,0,1,1,0,1
5,8,0,0,0,0,0,0,0,0,1,0,0,0,0
10,9,1,0,0,0,0,0,0,1,0,0,0,0,0
0,15,0,0,1,0,0,0,0,0,0,1,0,0,1
0,5,0,1,0,0,0,1,0,1,0,0,0,1,0
5,8,1,0,0,0,0,0,0,1,0,0,0,0,0
0,16,0,0,1,0,0,0,1,0,0,1,1,1,0
0,12,0,1,0,0,0,0,0,0,0,1,0,0,1
40,10,1,0,0,0,0,0,0,1,0,0,0,0,0
15,2,1,0,0,0,0,0,0,1,0,0,0,1,0
10,10,0,0,0,0,0,0,0,0,1,0,0,0,0
35,12,1,0,0,0,0,0,0,1,0,0,0,0,0
5,10,0,0,0,1,0,0,1,0,0,1,1,0,1
15,7,1,0,0,0,0,1,0,1,0,0,0,1,0
5,4,0,1,0,0,0,1,0,0,1,0,0,1,0
10,7,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2,0,0,0,0,0,1,0,0,1,0,0,1,0
0,4,0,1,0,0,0,0,0,0,0,0,1,1,0
10,9,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,1,0,0,0,0,0,0,1,0,0,0,1,0
10,13,0,0,1,0,0,0,1,0,0,1,1,0,1
10,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,12,0,1,1,0,0,1,0,1,0,0,1,1,0
15,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,17,0,0,1,0,0,0,1,0,0,1,1,0,1
0,12,0,0,1,0,0,1,1,0,0,1,1,1,0
0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
5,14,0,0,0,1,0,0,1,0,0,1,1,0,1
20,17,0,0,0,0,0,0,0,0,1,0,0,0,0
0,12,0,0,0,1,0,0,1,0,0,1,1,1,0
5,27,0,0,1,0,0,0,1,0,0,1,0,0,1
5,7,0,0,0,0,0,0,0,0,0,0,0,1,0
20,5,0,1,0,0,0,0,0,1,0,1,1,0,1
0,5,0,1,0,0,0,1,0,1,0,0,0,0,0
10,10,0,0,0,1,0,0,1,0,0,1,1,1,0
0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,0,0,0,0,0,0,0,1,0,0,0,0
0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
15,8,1,0,0,0,0,0,0,1,0,0,0,1,0
15,6,0,1,0,0,0,0,0,0,0,0,1,1,0
10,8,1,0,0,0,0,1,0,1,0,0,0,0,0
25,5,1,0,0,0,0,1,0,0,1,0,0,1,0
10,19,0,1,0,0,0,1,0,1,0,1,1,1,0
5,4,1,0,0,0,0,0,0,1,0,0,0,0,0
0,13,0,1,1,0,1,0,1,0,0,1,1,1,0
10,10,0,0,0,0,0,1,0,1,0,0,0,0,0
0,6,0,1,0,0,0,1,0,1,0,0,1,0,0
45,4,0,1,0,0,0,0,0,1,0,0,0,0,0
15,8,1,0,0,0,0,0,0,1,0,0,0,1,0
0,4,0,1,0,0,0,0,0,0,1,0,0,0,0
5,7,1,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
0,7,0,1,1,0,0,0,1,0,0,1,1,0,1
10,9,0,0,1,0,0,0,1,0,0,1,1,0,1
10,4,0,0,0,0,0,1,0,0,1,0,0,1,0
5,6,0,1,0,0,0,1,0,1,0,0,1,1,0
20,10,1,0,0,0,0,0,0,1,0,0,0,0,0
5,5,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,1,0,0,0,0,0,0,0,0,0,1,0
10,15,0,1,0,0,0,1,0,1,0,0,1,1,0
20,11,0,1,0,0,0,1,0,0,0,0,1,0,1
5,10,0,0,0,1,0,0,1,0,0,1,1,0,1
10,8,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
20,14,1,0,0,0,0,1,0,0,1,0,0,1,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,0,1,0,0,1,0,0,1,0
0,11,0,1,0,0,0,0,1,0,0,1,1,0,1
5,16,0,0,1,0,0,0,1,0,0,1,1,0,1
10,10,0,1,0,0,0,1,0,0,1,0,0,0,0
0,12,0,0,1,0,0,0,1,0,0,1,1,1,0
0,19,0,0,0,1,0,0,1,0,0,1,1,0,1
0,11,0,1,1,0,0,0,0,0,0,1,1,1,0
10,6,0,1,0,0,0,1,0,0,0,0,1,1,0
25,9,1,0,0,0,0,0,0,1,0,0,0,0,0
0,7,1,0,0,0,0,0,0,0,1,0,0,1,0
5,7,0,0,0,0,0,0,0,0,1,0,0,0,0
5,15,0,1,0,0,0,1,0,1,0,0,1,1,0
0,12,0,0,0,0,0,0,0,0,1,0,0,1,0
10,9,0,1,0,0,0,0,0,0,0,0,1,0,0
5,10,0,0,0,0,0,0,0,0,1,0,0,0,0
10,6,1,0,0,0,0,1,0,0,1,0,0,0,0
50,31,0,1,0,0,0,1,0,0,0,1,1,0,1
0,9,0,1,0,0,0,1,0,1,0,0,0,1,0
0,2,1,0,0,0,0,1,0,0,1,0,0,0,0
0,8,0,1,0,0,0,1,0,0,0,0,1,1,0
10,9,0,0,0,0,0,0,0,0,1,0,0,0,0
25,6,1,0,0,0,0,0,0,1,0,0,0,0,0
20,16,0,1,0,0,0,1,0,1,0,1,1,0,1
30,4,1,0,0,0,0,0,0,1,0,0,0,0,0
5,7,1,0,0,0,0,1,0,1,0,0,0,1,0
5,19,0,0,1,0,0,0,1,0,0,0,1,0,1
25,19,0,1,0,1,0,0,0,1,0,1,1,0,1
0,17,0,1,0,0,0,1,0,1,0,1,1,1,0
0,9,0,1,1,0,0,0,0,0,0,1,1,1,0
0,10,0,1,0,1,0,0,1,0,0,1,1,1,0
5,7,1,0,0,0,0,0,0,0,0,0,1,0,0
0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
10,3,1,0,0,0,0,0,0,1,0,0,0,1,0
10,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,17,1,0,0,0,0,1,0,0,0,0,0,1,0
995,6,1,0,0,0,0,0,0,1,0,0,0,0,0
15,8,0,1,0,0,0,1,0,1,0,1,1,0,1
10,12,1,0,0,0,0,0,0,0,1,0,0,0,0
20,6,0,0,0,0,0,1,0,0,1,0,0,0,0
5,2,0,0,0,0,0,0,0,0,1,0,0,1,0
20,7,0,0,0,0,0,1,0,1,0,0,0,0,0
0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
0,7,0,1,0,0,0,1,0,0,0,0,1,1,0
5,42,0,1,0,0,0,1,0,1,0,0,1,0,1
20,10,0,1,0,0,0,1,0,1,0,1,1,0,1
30,9,1,0,0,0,0,0,0,1,0,0,0,0,0
10,6,0,1,1,0,0,1,0,0,0,1,1,1,0
10,10,1,0,0,0,0,0,0,1,0,0,0,0,0
5,19,0,0,0,1,0,0,1,0,0,1,1,1,0
15,17,0,0,1,0,0,0,1,0,0,1,1,0,1
0,10,0,0,0,0,0,1,0,0,0,0,1,0,0
0,8,1,0,0,0,0,0,0,1,0,0,0,1,0
5,6,1,0,0,0,0,0,0,1,0,0,0,0,0
25,6,1,0,0,0,0,0,0,1,0,0,0,1,0
10,5,1,0,0,0,0,0,0,0,0,0,0,0,0
5,14,0,1,0,0,0,1,0,0,0,1,1,0,1
0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
10,11,0,0,0,1,0,0,1,0,0,1,1,0,1
5,11,0,1,0,0,0,0,0,0,0,1,1,0,1
10,12,0,1,0,0,0,1,0,1,0,0,1,1,0
10,19,0,1,1,0,0,0,1,0,0,1,1,0,1
5,3,1,0,0,0,0,0,0,1,0,0,0,1,0
10,7,0,0,1,0,0,0,1,0,0,1,1,0,1
0,3,0,0,0,0,0,0,0,0,1,0,0,1,0
0,18,0,1,0,1,0,0,1,0,0,1,1,0,1
10,14,1,0,0,0,0,1,0,1,0,0,0,0,0
0,26,0,1,0,0,0,0,1,0,0,1,1,1,0
15,5,1,0,0,0,0,0,0,1,0,0,0,1,0
35,6,0,1,0,0,0,0,0,0,0,1,1,0,1
10,11,0,0,0,0,0,1,0,0,0,0,1,1,0
0,10,1,0,0,0,0,0,0,1,0,0,0,0,0
0,3,1,0,0,0,0,1,0,1,0,0,0,0,0
20,12,0,1,0,0,0,0,0,0,0,1,1,0,1
5,9,1,0,0,0,0,0,0,1,0,0,0,0,0
35,8,1,0,0,0,0,0,0,1,0,0,0,0,0
5,16,0,0,1,0,0,0,1,0,0,1,1,1,0
5,19,0,0,1,0,0,0,1,0,0,1,1,1,0
0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
30,11,1,0,0,0,0,0,0,1,0,0,0,0,0
5,21,0,0,1,0,0,0,0,0,0,1,1,0,1
0,7,1,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,1,0,0,0,1,0,1,0,0,0,1,0
10,17,0,1,0,0,0,1,0,0,0,1,1,0,1
35,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,7,1,0,0,0,0,0,0,0,1,0,0,0,0
10,2,1,0,0,0,0,0,0,1,0,0,0,0,0
20,12,1,0,0,0,0,0,0,1,0,0,0,0,0
25,8,0,0,1,0,0,0,1,0,0,1,1,0,1
20,9,0,1,0,0,0,1,0,0,0,0,1,1,0
10,5,0,0,0,0,0,1,0,0,1,0,0,0,0
5,9,0,0,1,0,0,0,1,0,0,1,1,0,1
5,5,0,0,0,0,0,1,0,0,1,0,0,1,0
5,23,1,0,0,0,0,0,0,1,0,0,0,0,0
0,3,0,1,0,0,0,1,0,0,0,0,0,1,0
0,16,0,0,0,0,1,0,1,0,0,1,1,1,0
10,5,1,0,0,0,0,0,0,1,0,0,0,0,0
5,11,0,0,0,0,0,0,0,0,0,0,0,1,0
50,3,0,0,0,0,0,0,0,1,0,0,0,1,0
0,13,0,1,1,0,0,0,0,1,0,1,1,1,0
5,13,0,0,0,0,0,0,0,0,0,0,0,1,0
25,11,1,0,0,0,1,0,0,1,0,0,1,0,0
20,7,1,0,0,0,0,0,0,1,0,0,0,0,0
5,10,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,1,0,0,0,0,0,0,0,1,1,0,1
15,9,0,0,0,0,0,0,0,0,1,0,0,1,0
5,3,1,0,1,0,0,0,0,0,1,0,0,0,0
10,11,0,0,0,0,0,0,0,0,1,0,0,0,0
10,11,1,0,0,0,0,0,0,1,0,0,0,0,0
20,15,0,0,0,1,0,0,1,0,0,1,1,0,1
5,9,0,1,0,0,0,0,1,0,0,1,1,1,0
15,7,1,0,0,0,0,0,0,1,0,0,0,0,0
0,9,0,1,0,0,0,1,0,1,0,0,1,1,0
0,6,0,1,0,0,0,1,0,0,0,0,1,1,0
10,22,0,1,1,0,0,0,1,0,0,1,1,0,1
5,11,1,0,0,0,0,1,0,1,0,0,0,1,0
10,6,1,0,0,0,0,0,0,1,0,0,0,0,0
10,10,0,0,0,0,0,1,0,1,0,0,1,1,0
25,28,0,0,0,0,0,1,0,0,1,0,0,1,0
5,11,0,1,0,0,0,1,0,0,0,0,1,1,0
10,7,0,1,1,0,0,0,0,0,0,0,1,0,1
0,4,0,0,0,0,0,0,0,0,1,0,0,1,0
0,13,0,0,1,0,0,0,1,0,0,1,1,1,0
15,3,0,0,0,0,0,0,0,1,0,0,0,0,0
5,7,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,1,0,0,1,0
5,7,0,0,0,0,0,0,0,0,1,0,0,0,0
0,11,0,0,1,0,0,0,1,0,0,1,1,0,1
10,13,0,0,1,0,0,0,1,0,0,1,1,0,1
5,4,0,1,0,0,0,1,0,0,0,0,0,1,0
0,28,0,1,1,0,0,1,1,0,0,1,1,0,1
5,10,0,1,0,0,0,0,0,0,0,1,1,0,1
15,5,0,1,0,1,0,0,0,0,0,1,0,1,0
20,9,0,0,0,0,0,1,0,0,1,0,1,0,0
0,17,0,0,0,1,0,1,0,1,0,1,1,1,0
25,6,1,0,0,0,0,0,0,1,0,0,0,0,0
0,8,0,0,1,0,0,0,1,0,0,1,1,0,1
5,7,0,0,0,0,0,1,0,0,1,0,0,0,0
50,5,1,0,0,0,0,0,0,1,0,0,0,1,0
5,18,0,1,0,0,0,0,0,0,0,0,1,1,0
995,10,1,0,0,0,0,0,0,1,0,0,0,0,0
10,19,0,1,0,0,0,0,0,0,0,1,0,0,1
20,7,0,1,0,1,0,0,1,0,0,1,1,0,1
10,12,1,0,0,0,0,0,0,1,0,0,0,0,0
15,8,1,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,0,0,0,0,1,0,0,1,0,0,1,0
0,22,0,0,0,1,0,0,1,0,0,1,1,0,1
25,5,1,1,0,0,0,0,0,0,0,0,0,0,0
5,11,0,1,0,0,0,0,0,0,0,1,1,0,1
0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
20,12,1,0,0,0,0,0,0,1,0,0,0,0,0
5,15,0,0,1,0,0,0,1,0,0,1,1,0,1
0,13,1,0,0,0,0,0,0,1,0,0,0,1,0
20,5,0,1,1,0,0,0,1,0,0,1,1,0,1
5,24,0,1,0,0,0,1,0,0,0,1,1,1,0
0,3,0,0,0,0,0,0,0,1,0,0,0,1,0
995,4,1,0,0,0,0,0,0,1,0,0,0,1,0
30,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,11,0,1,0,0,0,0,0,0,0,0,0,1,0
40,15,1,0,0,0,0,0,0,1,0,0,1,0,0
25,8,1,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
10,11,0,0,0,0,0,0,0,1,0,0,0,0,0
5,7,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5,0,0,1,0,0,0,1,0,0,1,1,0,1
0,8,1,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4,1,0,0,0,0,0,0,1,0,0,0,1,0
10,11,0,0,0,0,0,0,0,0,1,0,0,0,0
15,14,0,1,1,0,0,0,0,1,0,1,1,0,1
5,14,0,0,1,0,0,0,1,0,0,1,1,1,0
5,11,1,0,0,0,0,0,0,1,0,0,0,0,0
10,7,1,0,0,0,0,0,0,1,0,0,0,0,0
10,17,1,0,0,0,0,0,0,1,0,0,0,0,0
40,10,0,0,0,0,0,0,0,1,0,0,0,0,0
5,14,0,0,1,0,0,0,0,0,0,1,1,0,1
0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
30,9,1,0,0,0,0,0,0,1,0,0,0,0,0
10,10,1,0,0,0,0,0,0,1,0,0,0,0,0
5,4,0,1,0,0,0,1,0,1,0,0,0,1,0
25,6,1,0,0,0,0,0,0,1,0,0,0,0,0
5,6,1,0,0,0,0,1,0,1,0,0,0,0,0
10,3,1,0,0,0,0,0,0,1,0,0,0,0,0
5,4,0,0,0,0,0,1,0,0,1,0,0,0,0
25,4,0,0,0,0,0,1,0,0,1,0,1,1,0
25,8,0,0,0,0,0,0,0,1,0,0,0,0,0
0,11,1,1,1,0,0,0,1,0,0,1,1,0,1
5,8,0,0,0,0,0,1,0,1,0,0,0,0,0
0,19,0,0,1,0,0,0,1,0,0,1,1,0,1
0,9,0,0,0,0,0,0,0,0,1,0,0,1,0
20,11,0,0,0,0,0,1,0,0,1,0,0,0,0
20,12,1,0,0,0,0,0,0,1,0,0,0,1,0
0,12,0,0,0,1,0,0,1,0,0,1,1,0,1
10,14,1,0,0,0,0,0,0,0,1,0,0,0,0
10,7,1,0,0,0,0,1,0,1,0,0,0,0,0
5,4,0,1,0,0,0,1,0,1,0,0,1,1,0
0,3,0,1,0,0,0,1,0,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
5,6,0,0,1,0,0,0,0,0,0,1,0,0,1
15,7,1,0,0,0,0,0,0,1,0,0,0,0,0
5,10,0,0,0,1,0,0,1,0,0,1,1,0,1
5,17,0,0,0,1,0,1,0,1,0,1,1,0,1
